Date,AMPM,WetDry,numkilled,efforthrs,pigs_hr,controlType,org,operator
11/10/20,AM,Dry,2,5,0.4,shot,LB,BF
23/10/20,AM,Dry,1,3,0.333333333,shot,LB,BF
25/10/20,AM,Dry,6,5,1.2,shot,LB,BF
20/11/20,AM,Dry,6,NA,NA,shot,LB,BF
20/11/20,AM,Dry,1,5,0.2,shot,LB,BF
3/12/20,AM,Dry,1,5,0.2,shot,LB,BF
3/12/20,AM,Dry,1,5,0.2,shot,LB,BF
3/12/20,AM,Dry,5,5,1,shot,LB,BF
3/12/20,AM,Dry,1,5,0.2,shot,LB,BF
14/12/20,AM,Dry,2,NA,NA,shot,LB,BF
15/12/20,AM,Dry,3,NA,NA,shot,LB,BF
17/12/20,AM,Dry,3,NA,NA,shot,LB,BF
19/12/20,AM,Dry,6,NA,NA,shot,LB,BF
29/12/20,AM,Dry,4,5,0.8,shot,LB,BF
14/1/21,AM,Dry,1,5,0.2,shot,LB,BF
14/1/21,PM,Dry,1,5,0.2,shot,LB,BF
19/1/21,AM,Dry,1,5,0.2,shot,LB,BF
21/1/21,AM,Dry,1,5,0.2,shot,LB,BF
25/1/21,PM,Dry,1,5,0.2,shot,LB,BF
25/1/21,PM,Dry,6,5,1.2,shot,LB,BF
28/1/21,AM,Dry,2,NA,NA,shot,LB,BF
28/1/21,AM,Dry,1,5,0.2,shot,LB,BF
5/2/21,PM,Dry,1,5,0.2,shot,LB,BF
9/2/21,AM,Dry,3,5,0.6,shot,LB,BF
10/2/21,AM,Dry,5,5,1,shot,LB,BF
10/2/21,AM,Dry,2,5,0.4,shot,LB,BF
4/3/21,AM,Dry,2,2,1,shot,LB,BF
5/3/21,AM,Dry,2,3,0.666666667,shot,LB,BF
9/3/21,AM,Dry,3,1,3,shot,LB,BF
10/3/21,PM,Dry,2,2,1,shot,LB,BF
10/3/21,AM,Dry,2,1,2,shot,LB,BF
11/3/21,PM,Dry,3,NA,NA,shot,LB,BF
11/3/21,PM,Dry,1,1,1,shot,LB,BF
12/3/21,AM,Dry,3,2,1.5,shot,LB,BF
13/4/21,PM,Dry,7,6,1.166666667,shot,LB,BF
13/4/21,AM,Dry,1,1,1,shot,LB,BF
17/4/21,AM,Dry,5,4,1.25,shot,LB,BF
19/4/21,PM,Dry,2,2,1,shot,LB,BF
20/4/21,PM,Dry,8,5,1.6,shot,LB,BF
22/4/21,PM,Dry,9,2,4.5,shot,LB,BF
22/4/21,PM,Dry,1,1,1,shot,LB,BF
29/4/21,PM,Dry,9,3,3,shot,LB,BF
11/5/21,PM,Wet,3,4,0.75,shot,LB,BF
18/5/21,PM,Wet,7,3,2.333333333,shot,LB,BF
27/5/21,PM,Wet,1,NA,NA,shot,LB,BF
27/5/21,PM,Wet,2,1,2,shot,LB,BF
2/6/21,PM,Wet,2,4,0.5,shot,LB,BF
8/6/21,PM,Wet,2,3,0.666666667,shot,LB,BF
8/6/21,PM,Wet,3,1,3,shot,LB,BF
15/6/21,PM,Wet,7,5,1.4,shot,LB,BF
21/6/21,PM,Wet,1,5,0.2,shot,LB,BF
29/6/21,AM,Wet,1,3,0.333333333,shot,LB,BF
29/6/21,AM,Wet,7,3,2.333333333,shot,LB,BF
29/6/21,AM,Wet,1,2,0.5,shot,LB,BF
2/8/21,PM,Wet,5,2,2.5,shot,LB,BF
2/8/21,PM,Wet,4,2,2,shot,LB,BF
8/9/21,PM,Wet,2,5,0.4,shot,LB,BF
12/10/21,AM,Wet,3,3,1,shot,LB,BF
31/3/21,PM,Dry,16,35,0.457142857,poisoned,LB,DJ
1/4/21,AM,Dry,1,38,0.026315789,poisoned,LB,DJ
21/4/21,PM,Dry,1,40,0.025,poisoned,LB,DJ
21/4/21,PM,Dry,17,10,1.7,poisoned,LB,DJ
24/6/21,PM,Wet,4,40,0.1,shot,LB,DJ
13/7/21,PM,Wet,1,20,0.05,shot,LB,DJ
19/7/21,PM,Wet,1,60,0.016666667,shot,LB,DJ
13/9/21,PM,Wet,1,20,0.05,shot,LB,DJ
6/10/21,PM,Wet,1,10,0.1,shot,LB,DJ
7/10/21,AM,Wet,1,10,0.1,shot,LB,DJ
30/10/20,PM,Dry,1,100,0.01,shot,other,PJ
12/11/20,AM,Dry,1,100,0.01,shot,other,PJ
16/11/20,PM,Dry,1,100,0.01,shot,other,PJ
3/12/20,PM,Dry,1,100,0.01,shot,other,PJ
28/1/21,PM,Dry,1,100,0.01,shot,other,PJ
6/2/21,PM,Dry,2,100,0.02,shot,other,PJ
6/3/21,PM,Dry,1,100,0.01,shot,other,PJ
7/3/21,AM,Dry,1,100,0.01,shot,other,PJ
29/4/20,AM,Wet,1,NA,NA,shot,other,other
24/9/20,AM,Wet,5,20,0.25,trapped,DEW,other
4/11/20,AM,Dry,1,20,0.05,trapped,DEW,other
