Date,AMPM,WetDry,numkilled,efforthrs,pigs_hr,controlType,org,operator,No killed to date,No remaining,propRemaining,FF.O,KProp
29/4/20,AM,Wet,1,NA,NA,shot,other,other,1,956,0.998955068,NS,0.1912
24/9/20,AM,Wet,5,20,0.25,trapped,DEW,other,6,951,0.993730408,NS,0.1902
11/10/20,AM,Dry,2,5,0.4,shot,LB,BF,8,949,0.991640543,O,0.1898
23/10/20,AM,Dry,1,3,0.333333333,shot,LB,BF,9,948,0.990595611,O,0.1896
25/10/20,AM,Dry,6,5,1.2,shot,LB,BF,15,942,0.984326019,O,0.1884
30/10/20,PM,Dry,1,100,0.01,shot,other,PJ,16,941,0.983281087,FF,0.1882
4/11/20,AM,Dry,1,20,0.05,trapped,DEW,other,17,940,0.982236155,NS,0.188
12/11/20,AM,Dry,1,100,0.01,shot,other,PJ,18,939,0.981191223,FF,0.1878
16/11/20,PM,Dry,1,100,0.01,shot,other,PJ,19,938,0.98014629,FF,0.1876
20/11/20,AM,Dry,1,5,0.2,shot,LB,BF,20,937,0.979101358,O,0.1874
20/11/20,AM,Dry,6,NA,NA,shot,LB,BF,26,931,0.972831766,O,0.1862
3/12/20,AM,Dry,1,5,0.2,shot,LB,BF,27,930,0.971786834,O,0.186
3/12/20,AM,Dry,1,5,0.2,shot,LB,BF,28,929,0.970741902,O,0.1858
3/12/20,AM,Dry,1,5,0.2,shot,LB,BF,29,928,0.96969697,O,0.1856
3/12/20,AM,Dry,5,5,1,shot,LB,BF,34,923,0.964472309,O,0.1846
3/12/20,PM,Dry,1,100,0.01,shot,other,PJ,35,922,0.963427377,FF,0.1844
14/12/20,AM,Dry,2,NA,NA,shot,LB,BF,37,920,0.961337513,O,0.184
15/12/20,AM,Dry,3,NA,NA,shot,LB,BF,40,917,0.958202717,O,0.1834
16/12/20,AM,Dry,5,8,0.625,poisoned,other,other,45,912,0.952978056,NS,0.1824
17/12/20,AM,Dry,3,NA,NA,shot,LB,BF,48,909,0.94984326,O,0.1818
19/12/20,AM,Dry,6,NA,NA,shot,LB,BF,54,903,0.943573668,O,0.1806
29/12/20,AM,Dry,4,5,0.8,shot,LB,BF,58,899,0.939393939,O,0.1798
6/1/21,AM,Dry,1,NA,NA,shot,other,other,59,898,0.938349007,NS,0.1796
12/1/21,AM,Dry,7,15,0.466666667,poisoned,DEW,other,66,891,0.931034483,NS,0.1782
13/1/21,AM,Dry,2,NA,NA,shot,farmer,other,68,889,0.928944619,NS,0.1778
14/1/21,AM,Dry,1,5,0.2,shot,LB,BF,69,888,0.927899687,O,0.1776
14/1/21,PM,Dry,1,5,0.2,shot,LB,BF,70,887,0.926854754,O,0.1774
14/1/21,AM,Dry,1,NA,NA,shot,farmer,other,71,886,0.925809822,NS,0.1772
16/1/21,AM,Dry,2,NA,NA,shot,farmer,other,73,884,0.923719958,NS,0.1768
19/1/21,AM,Dry,1,5,0.2,shot,LB,BF,74,883,0.922675026,O,0.1766
21/1/21,AM,Dry,1,5,0.2,shot,LB,BF,75,882,0.921630094,O,0.1764
25/1/21,PM,Dry,1,5,0.2,shot,LB,BF,76,881,0.920585162,O,0.1762
25/1/21,PM,Dry,6,5,1.2,shot,LB,BF,82,875,0.914315569,O,0.175
28/1/21,PM,Dry,3,10,0.3,poisoned,DEW,other,85,872,0.911180773,NS,0.1744
28/1/21,AM,Dry,1,5,0.2,shot,LB,BF,86,871,0.910135841,O,0.1742
28/1/21,AM,Dry,2,NA,NA,shot,LB,BF,88,869,0.908045977,O,0.1738
28/1/21,PM,Dry,1,100,0.01,shot,other,PJ,89,868,0.907001045,FF,0.1736
4/2/21,PM,Dry,13,4,3.25,poisoned,NPWS,other,102,855,0.893416928,NS,0.171
5/2/21,PM,Dry,1,5,0.2,shot,LB,BF,103,854,0.892371996,O,0.1708
5/2/21,AM,Dry,3,1,3,trapped,NPWS,other,106,851,0.8892372,NS,0.1702
6/2/21,PM,Dry,2,100,0.02,shot,other,PJ,108,849,0.887147335,FF,0.1698
9/2/21,AM,Dry,3,5,0.6,shot,LB,BF,111,846,0.884012539,O,0.1692
10/2/21,AM,Dry,2,5,0.4,shot,LB,BF,113,844,0.881922675,O,0.1688
10/2/21,AM,Dry,5,5,1,shot,LB,BF,118,839,0.876698015,O,0.1678
12/2/21,AM,Dry,3,6,0.5,trapped,PIRSA,other,121,836,0.873563218,NS,0.1672
26/2/21,AM,Dry,1,12,0.083333333,trapped,NPWS,other,122,835,0.872518286,NS,0.167
4/3/21,AM,Dry,2,2,1,shot,LB,BF,124,833,0.870428422,O,0.1666
5/3/21,AM,Dry,2,3,0.666666667,shot,LB,BF,126,831,0.868338558,O,0.1662
6/3/21,PM,Dry,1,NA,NA,shot,other,other,127,830,0.867293626,NS,0.166
6/3/21,PM,Dry,1,100,0.01,shot,other,PJ,128,829,0.866248694,FF,0.1658
7/3/21,AM,Dry,1,100,0.01,shot,other,PJ,129,828,0.865203762,FF,0.1656
9/3/21,AM,Dry,3,1,3,shot,LB,BF,132,825,0.862068966,O,0.165
10/3/21,PM,Dry,5,5,1,poisoned,DEW,other,137,820,0.856844305,NS,0.164
10/3/21,PM,Dry,1,10,0.1,poisoned,DEW,other,138,819,0.855799373,NS,0.1638
10/3/21,AM,Dry,2,1,2,shot,LB,BF,140,817,0.853709509,O,0.1634
10/3/21,PM,Dry,2,2,1,shot,LB,BF,142,815,0.851619645,O,0.163
11/3/21,PM,Dry,1,1,1,shot,LB,BF,143,814,0.850574713,O,0.1628
11/3/21,PM,Dry,3,NA,NA,shot,LB,BF,146,811,0.847439916,O,0.1622
12/3/21,AM,Dry,3,2,1.5,shot,LB,BF,149,808,0.84430512,O,0.1616
13/3/21,PM,Dry,5,7,0.714285714,poisoned,DEW,other,154,803,0.83908046,NS,0.1606
15/3/21,AM,Dry,3,10,0.3,poisoned,NPWS,other,157,800,0.835945664,NS,0.16
18/3/21,PM,Dry,1,1.116666667,0.895522388,TAAC,HS,other,158,799,0.834900731,NS,0.1598
19/3/21,PM,Dry,2,1.066666667,1.875,TAAC,HS,other,160,797,0.832810867,NS,0.1594
19/3/21,AM,Dry,1,1.116666667,0.895522388,TAAC,HS,other,161,796,0.831765935,NS,0.1592
22/3/21,PM,Dry,4,1.15,3.47826087,TAAC,HS,other,165,792,0.827586207,NS,0.1584
22/3/21,AM,Dry,8,1.9,4.210526316,TAAC,HS,other,173,784,0.81922675,NS,0.1568
23/3/21,PM,Dry,6,1.266666667,4.736842105,TAAC,HS,other,179,778,0.812957158,NS,0.1556
23/3/21,AM,Dry,19,2.7,7.037037037,TAAC,HS,other,198,759,0.793103448,NS,0.1518
